goods_to_declare,update_time,estimated_shipping_fee,total_amount,service_code,payment_method,country,escrow_amount,message_to_seller,shipping_carrier,days_to_ship,currency,create_time,cod,items,tracking_no,order_status,actual_shipping_cost,recipient_address,ordersn
False,1510262611,12000,107000,,PAY_BANK_TRANSFER,ID,147000,,JNE Reguler,3,IDR,1509712661,False,"[{""sku"": 7179, ""item_name"": ""Perfect Beauty Perfectlashes Mega 8044 - Human Hair Bulu Mata Palsu"", ""item_sku"": 229954, ""variation_discounted_price"": ""10000"", ""variation_id"": 979079, ""variation_name"": """", ""item_id"": 546910, ""variation_quantity_purchased"": 1, ""variation_sku"": 701574, ""variation_original_price"": ""20000""}, {""sku"": 2406, ""item_name"": ""Cottage Moisturizing Body Milk 250ml  - Pelembab Tubuh Body Lotion"", ""item_sku"": 426700, ""variation_discounted_price"": ""85000"", ""variation_id"": 430115, ""variation_name"": ""Ocean Blossom 250ml"", ""item_id"": 890043, ""variation_quantity_purchased"": 1, ""variation_sku"": 973942, ""variation_original_price"": ""85000""}]",24472085,COMPLETED,52000,"{""town"": """", ""city"": ""KAB. MAMUJU UTARA"", ""name"": ""Random Person 1"", ""district"": ""District 1"", ""country"": ""ID"", ""zipcode"": 1234, ""full_address"": ""Address 1 at 1235"", ""phone"": ""12345-6789"", ""state"": ""SULAWESI BARAT""}",shopee-order-id-1
False,1510236398,0,115200,,PAY_BANK_TRANSFER,ID,124200,,JNE Reguler,3,IDR,1509949495,False,"[{""sku"": 5893, ""item_name"": ""CANMAKE Cream Cheek (05)"", ""item_sku"": 519479, ""variation_discounted_price"": ""115200"", ""variation_id"": 310058, ""variation_name"": ""CANMAKE Cream Cheek (05)"", ""item_id"": 919994, ""variation_quantity_purchased"": 1, ""variation_sku"": 446417, ""variation_original_price"": ""128000""}]",83468888,COMPLETED,9000,"{""town"": """", ""city"": ""KOTA JAKARTA BARAT"", ""name"": ""Random Person 2"", ""district"": ""District 2"", ""country"": ""ID"", ""zipcode"": 1235, ""full_address"": ""Address 2 at 1236"", ""phone"": ""12345-6789"", ""state"": ""DKI JAKARTA""}",shopee-order-id-2
False,1510237646,0,176000,,PAY_IPAY88,ID,214000,,JNE Reguler,3,IDR,1509964545,False,"[{""sku"": 5776, ""item_name"": ""Cottage Shower Gel 750ml - Sabun Mandi Shower Gel"", ""item_sku"": 771269, ""variation_discounted_price"": ""88000"", ""variation_id"": 699091, ""variation_name"": ""strawbery 750ml"", ""item_id"": 415200, ""variation_quantity_purchased"": 2, ""variation_sku"": 759992, ""variation_original_price"": ""88000""}]",57621837,COMPLETED,38000,"{""town"": """", ""city"": ""KOTA BANDAR LAMPUNG"", ""name"": ""Random Person 3"", ""district"": ""District 3"", ""country"": ""ID"", ""zipcode"": 1236, ""full_address"": ""Address 3 at 1237"", ""phone"": ""12345-6789"", ""state"": ""LAMPUNG""}",shopee-order-id-3
False,1510237678,6000,591054,,PAY_CYBERSOURCE,ID,622200,,JNE Reguler,3,IDR,1510013314,False,"[{""sku"": 8226, ""item_name"": ""Hollywood Diet 48 Hour Miracle Diet 947ml - Jus Pelangsing Badan"", ""item_sku"": 532419, ""variation_discounted_price"": ""366200"", ""variation_id"": 657809, ""variation_name"": """", ""item_id"": 762028, ""variation_quantity_purchased"": 1, ""variation_sku"": 513846, ""variation_original_price"": ""489900""}, {""sku"": 3002, ""item_name"": ""Spawellness Shower Gel  850ml- Sabun Mandi Memutihkan Dan Menghilangkan Daki"", ""item_sku"": 294361, ""variation_discounted_price"": ""220000"", ""variation_id"": 612102, ""variation_name"": ""Snow White 850ml"", ""item_id"": 661754, ""variation_quantity_purchased"": 1, ""variation_sku"": 764743, ""variation_original_price"": ""220000""}]",99893134,TO_CONFIRM_RECEIVE,36000,"{""town"": """", ""city"": ""KOTA SEMARANG"", ""name"": ""Random Person 4"", ""district"": ""District 4"", ""country"": ""ID"", ""zipcode"": 1237, ""full_address"": ""Address 4 at 1238"", ""phone"": ""12345-6789"", ""state"": ""JAWA TENGAH""}",shopee-order-id-4
False,1510280919,0,118000,,PAY_IPAY88,ID,129000,,JNE Reguler,3,IDR,1509970226,False,"[{""sku"": 1132, ""item_name"": ""Hada Labo Gokujyun - Ultimate Moisturizing Foaming Face Wash Pump (100 ml)"", ""item_sku"": 747225, ""variation_discounted_price"": ""59000"", ""variation_id"": 643546, ""variation_name"": ""Hada Labo Gokujyun - Ultimate Moisturizing Foaming Face Wash Pump (100 ml)"", ""item_id"": 715623, ""variation_quantity_purchased"": 2, ""variation_sku"": 738897, ""variation_original_price"": ""59000""}]",76204299,SHIPPED,11000,"{""town"": """", ""city"": ""KOTA BANDUNG"", ""name"": ""Random Person 5"", ""district"": ""District 5"", ""country"": ""ID"", ""zipcode"": 1238, ""full_address"": ""Address 5 at 1239"", ""phone"": ""12345-6789"", ""state"": ""JAWA BARAT""}",shopee-order-id-5
False,1510238820,0,199100,,PAY_IPAY88,ID,199100,,JNE Reguler,3,IDR,1510036172,False,"[{""sku"": 6726, ""item_name"": ""Masami Shouko 108 Powder/Blush Brush - Kuas Make Up Powder"", ""item_sku"": 337921, ""variation_discounted_price"": ""140100"", ""variation_id"": 531576, ""variation_name"": """", ""item_id"": 591935, ""variation_quantity_purchased"": 1, ""variation_sku"": 969723, ""variation_original_price"": ""178900""}, {""sku"": 3240, ""item_name"": ""Hada Labo Gokujyun - Ultimate Moisturizing Foaming Face Wash Pump (100 ml)"", ""item_sku"": 687176, ""variation_discounted_price"": ""59000"", ""variation_id"": 537409, ""variation_name"": ""Hada Labo Gokujyun - Ultimate Moisturizing Foaming Face Wash Pump (100 ml)"", ""item_id"": 731260, ""variation_quantity_purchased"": 1, ""variation_sku"": 138712, ""variation_original_price"": ""59000""}]",13511791,TO_RETURN,21000,"{""town"": """", ""city"": ""KAB. SLEMAN"", ""name"": ""Random Person 6"", ""district"": ""District 6"", ""country"": ""ID"", ""zipcode"": 1239, ""full_address"": ""Address 6 at 1240"", ""phone"": ""12345-6789"", ""state"": ""DI YOGYAKARTA""}",shopee-order-id-6
False,1510280590,0,171422,,PAY_IPAY88,ID,202000,,JNE Reguler,3,IDR,1510051406,False,"[{""sku"": 9238, ""item_name"": ""Cottage Shower Gel 750ml - Sabun Mandi Shower Gel"", ""item_sku"": 567380, ""variation_discounted_price"": ""88000"", ""variation_id"": 449666, ""variation_name"": ""strawbery 750ml"", ""item_id"": 849907, ""variation_quantity_purchased"": 1, ""variation_sku"": 353858, ""variation_original_price"": ""88000""}, {""sku"": 8779, ""item_name"": ""Cottage Shower Gel 750ml - Sabun Mandi Shower Gel"", ""item_sku"": 127356, ""variation_discounted_price"": ""88000"", ""variation_id"": 537335, ""variation_name"": ""Grapfruit 750ml"", ""item_id"": 913931, ""variation_quantity_purchased"": 1, ""variation_sku"": 442621, ""variation_original_price"": ""88000""}]",36057952,SHIPPED,26000,"{""town"": """", ""city"": ""KAB. CIANJUR"", ""name"": ""Random Person 7"", ""district"": ""District 7"", ""country"": ""ID"", ""zipcode"": 1240, ""full_address"": ""Address 7 at 1241"", ""phone"": ""12345-6789"", ""state"": ""JAWA BARAT""}",shopee-order-id-7
False,1510280933,11000,88900,,PAY_IPAY88,ID,88900,,JNE Reguler,3,IDR,1510087191,False,"[{""sku"": 5441, ""item_name"": ""Ardell 130231 Lashtite Adhesive 0.125oz Dark"", ""item_sku"": 336831, ""variation_discounted_price"": ""77900"", ""variation_id"": 158479, ""variation_name"": ""Ardell 130231 Lashtite Adhesive 0.125oz Dark"", ""item_id"": 566073, ""variation_quantity_purchased"": 1, ""variation_sku"": 145244, ""variation_original_price"": ""77900""}]",35029104,SHIPPED,11000,"{""town"": """", ""city"": ""KOTA BANDUNG"", ""name"": ""Random Person 8"", ""district"": ""District 8"", ""country"": ""ID"", ""zipcode"": 1241, ""full_address"": ""Address 8 at 1242"", ""phone"": ""12345-6789"", ""state"": ""JAWA BARAT""}",shopee-order-id-8
False,1510282650,6000,372200,,PAY_IPAY88,ID,372200,,JNE Reguler,3,IDR,1510030812,False,"[{""sku"": 7201, ""item_name"": ""Hollywood Diet 48 Hour Miracle Diet 947ml - Jus Pelangsing Badan"", ""item_sku"": 871452, ""variation_discounted_price"": ""366200"", ""variation_id"": 430485, ""variation_name"": """", ""item_id"": 415826, ""variation_quantity_purchased"": 1, ""variation_sku"": 210815, ""variation_original_price"": ""489900""}]",63380277,INVALID,0,"{""town"": """", ""city"": ""KOTA SAMARINDA"", ""name"": ""Random Person 9"", ""district"": ""District 9"", ""country"": ""ID"", ""zipcode"": 1242, ""full_address"": ""Address 9 at 1243"", ""phone"": ""12345-6789"", ""state"": ""KALIMANTAN TIMUR""}",shopee-order-id-9
False,1510282743,0,475719,,PAY_IPAY88,ID,506000,,JNE Reguler,3,IDR,1510061349,False,"[{""sku"": 7174, ""item_name"": ""Cetaphil Daily Lotion (400 ml)"", ""item_sku"": 247010, ""variation_discounted_price"": ""119000"", ""variation_id"": 150969, ""variation_name"": ""Cetaphil Daily Lotion (400 ml)"", ""item_id"": 286139, ""variation_quantity_purchased"": 4, ""variation_sku"": 863886, ""variation_original_price"": ""170000""}]",51476128,SHIPPED,38000,"{""town"": """", ""city"": ""KOTA SURABAYA"", ""name"": ""Random Person 10"", ""district"": ""District 10"", ""country"": ""ID"", ""zipcode"": 1243, ""full_address"": ""Address 10 at 1244"", ""phone"": ""12345-6789"", ""state"": ""JAWA TIMUR""}",shopee-order-id-10
